anime_id,title,title_english,type,source,episodes,status,aired,duration,rating,score,scored_by,members,favorites,genre,studio,premiered
1412,Lupin III,Lupin III,TV,Manga,23,Finished Airing,"{'from': '1971-10-24', 'to': '1972-03-26'}",25 min. per ep.,PG-13 - Teens 13 or older,7.73,15329,47174,552,"Action, Adventure, Comedy, Seinen",Tokyo Movie Shinsha,Fall 1971
2867,Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,OVA,Visual novel,2,Finished Airing,"{'from': '2006-12-22', 'to': '2007-03-23'}",30 min. per ep.,Rx - Hentai,7.13,4053,9946,66,Hentai,T-Rex,
9792,Licca-chan Fushigi na Fushigi na Yunia Monogatari,Licca-chan Fushigi na Fushigi na Yunia Monogatari,OVA,Other,2,Finished Airing,"{'from': '1990-11-23', 'to': '1990-11-23'}",27 min. per ep.,PG - Children,6.24,115,439,0,"Adventure, Kids",,
34911,Cine Mileage Card x Asa da yo! Kaishain,Cine Mileage Card x Asa da yo! Kaishain,Special,Original,0,Currently Airing,"{'from': '2017-02-10', 'to': None}",15 sec.,G - All Ages,3.55,11,78,0,"Music, Comedy",,
36108,Takunomi.,Takunomi,TV,Manga,12,Finished Airing,"{'from': '2018-01-12', 'to': '2018-03-30'}",12 min. per ep.,PG-13 - Teens 13 or older,6.39,6112,24280,22,"Comedy, Slice of Life",Production IMS,Winter 2018
30973,Urashima Tarou (1952),Urashima Tarou (1952),Movie,Other,1,Finished Airing,"{'from': None, 'to': None}",Unknown,G - All Ages,5.43,51,160,0,Historical,,
12881,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,OVA,Visual novel,4,Finished Airing,"{'from': '2004-12-12', 'to': '2004-12-12'}",12 min. per ep.,PG-13 - Teens 13 or older,5.9,211,723,0,"Comedy, Drama, Harem, Romance, Sci-Fi",,
21763,Ari to Hato (1953),Ari to Hato (1953),Movie,Other,1,Finished Airing,"{'from': None, 'to': None}",16 min.,G - All Ages,7.08,12,113,0,Kids,,
2983,Digital Devil Story: Megami Tensei,Digital Devil Story: Megami Tensei,OVA,Light novel,1,Finished Airing,"{'from': '1987-03-25', 'to': '1987-03-25'}",45 min.,R - 17+ (violence & profanity),5.33,1877,3699,5,"Adventure, Mystery, Horror, Demons, Psychological, Supernatural, Drama, Fantasy, School",Animate Film,
1879,Midnight Eye: Gokuu,Goku: Midnight Eye,OVA,Manga,1,Finished Airing,"{'from': '1989-01-27', 'to': '1989-01-27'}",50 min.,R+ - Mild Nudity,6.52,1644,3946,6,"Action, Sci-Fi, Mystery, Seinen",Madhouse,
7578,Gokinjo Monogatari the Movie,Neighborhood Story The Movie,Movie,Original,1,Finished Airing,"{'from': '1996-03-02', 'to': '1996-03-02'}",30 min.,G - All Ages,6.55,462,1619,2,"Comedy, Drama, Romance",Toei Animation,
314,Ace wo Nerae! 2,Ace wo Nerae! 2,OVA,Manga,13,Finished Airing,"{'from': '1988-07-25', 'to': '1988-10-25'}",24 min. per ep.,PG-13 - Teens 13 or older,6.76,292,1189,6,"Drama, Shoujo, Sports",,
3695,Spectral Force Chronicle Divergence,Spectral Force Chronicle Divergence,OVA,Game,1,Finished Airing,"{'from': '2005-06-22', 'to': '2005-06-22'}",24 min.,PG-13 - Teens 13 or older,4.93,140,520,0,Fantasy,,
287,Grappler Baki (TV),Grappler Baki (TV),TV,Manga,24,Finished Airing,"{'from': '2001-01-09', 'to': '2001-06-26'}",25 min. per ep.,PG-13 - Teens 13 or older,7.42,15617,31581,250,"Action, Sports, Martial Arts, Shounen",Group TAC,Winter 2001
6419,Cinderella Express,Cinderella Express,OVA,Manga,1,Finished Airing,"{'from': '1989-08-16', 'to': '1989-08-16'}",47 min.,R+ - Mild Nudity,5.83,91,511,1,"Ecchi, Comedy, Romance, Seinen",,
20187,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,Special,Original,1,Finished Airing,"{'from': '2013-11-16', 'to': '2013-11-16'}",24 min.,R - 17+ (violence & profanity),6.34,2433,5323,3,Magic,AIC,
7721,Meat or Die,Meat or Die,ONA,Unknown,12,Finished Airing,"{'from': '2009-10-02', 'to': '2018-05-11'}",1 min. per ep.,PG - Children,5.0,75,218,1,"Adventure, Comedy",,
4725,Ga-Rei: Zero,Ga-Rei-Zero,TV,Manga,12,Finished Airing,"{'from': '2008-10-06', 'to': '2008-12-22'}",23 min. per ep.,R - 17+ (violence & profanity),7.72,74149,171670,1964,"Action, Super Power, Supernatural, Thriller","AIC Spirits, Asread",Fall 2008
10855,Penguin no Mondai Max,Penguin no Mondai Max,TV,Unknown,50,Finished Airing,"{'from': '2010-04-03', 'to': '2011-03-26'}",10 min. per ep.,G - All Ages,6.33,21,135,0,"Comedy, Kids",Shogakukan Music &amp; Digital Entertainment,Spring 2010
3873,Honey Honey no Suteki na Bouken,Honey Honey&#039;s Wonderful Adventures,TV,Manga,29,Finished Airing,"{'from': '1981-10-07', 'to': '1982-05-01'}",24 min. per ep.,G - All Ages,6.57,119,551,4,"Adventure, Historical, Shoujo",,Fall 1981
32548,Imawa no Kuni no Alice,Imawa no Kuni no Alice,ONA,Manga,1,Finished Airing,"{'from': '2013-07-09', 'to': '2013-07-09'}",30 sec.,PG-13 - Teens 13 or older,6.3,518,1580,1,Action,Production I.G,
3473,Souseiki,The Genesis,Movie,Unknown,1,Finished Airing,"{'from': '1968-10-01', 'to': '1968-10-01'}",4 min.,PG - Children,5.65,673,1155,1,Parody,,
8213,Hoka Hoka Kazoku,The Affectuous Family,TV,Unknown,1428,Finished Airing,"{'from': '1976-10-01', 'to': '1982-03-31'}",5 min. per ep.,G - All Ages,5.93,91,295,0,Comedy,Eiken,Fall 1976
15095,Shin Koihime†Musou OVA Omake,Shin Koihime†Musou OVA Omake,Special,Visual novel,1,Finished Airing,"{'from': '2010-07-07', 'to': '2010-07-07'}",12 min.,R+ - Mild Nudity,6.5,287,1276,0,"Adventure, Comedy, Fantasy",,
6885,Sora no Manimani Specials,At The Mercy of The Sky Specials,Special,Unknown,3,Finished Airing,"{'from': '2009-09-02', 'to': '2009-12-16'}",2 min. per ep.,PG-13 - Teens 13 or older,6.62,2473,4804,2,"Comedy, School, Slice of Life",,
34055,Berserk 2nd Season,Berserk,TV,Manga,12,Finished Airing,"{'from': '2017-04-07', 'to': '2017-06-23'}",24 min. per ep.,R - 17+ (violence & profanity),7.09,34287,70967,251,"Action, Adventure, Demons, Drama, Fantasy, Horror, Magic, Military, Romance, Supernatural","Millepensee, GEMBA",Spring 2017
7877,"Momoko, Kaeru no Uta ga Kikoeru yo.",My Sister Momoko,Movie,Book,1,Finished Airing,"{'from': '2003-07-23', 'to': '2003-07-23'}",1 hr. 19 min.,G - All Ages,7.64,594,1753,10,"Drama, School, Slice of Life",,
10572,Ro-Kyu-Bu!,Ro-Kyu-Bu ~ Fast Break!,TV,Light novel,12,Finished Airing,"{'from': '2011-07-01', 'to': '2011-09-23'}",24 min. per ep.,PG-13 - Teens 13 or older,6.98,25460,57684,184,"Ecchi, Sports, Comedy, School","Barnum Studio, Project No.9, Studio Blanc",Summer 2011
27459,Porong Porong Pororo 5,Pororo the Little Penguin 5,TV,Unknown,26,Finished Airing,"{'from': '2014-02-24', 'to': '2014-05-20'}",11 min. per ep.,G - All Ages,6.26,31,128,1,"Kids, Cars",,Winter 2014
10256,Shion Special,Shion Special,Special,Visual novel,1,Finished Airing,"{'from': '2010-10-01', 'to': '2010-10-01'}",3 min.,Rx - Hentai,6.52,432,1173,5,Hentai,,
3919,Shimaizuma: Shimaizuma 3 The Animation,Fleshdance,OVA,Visual novel,2,Finished Airing,"{'from': '2007-09-25', 'to': '2007-11-25'}",28 min. per ep.,Rx - Hentai,6.89,1194,3112,25,Hentai,Studio Jam,
26011,Super Backkom,Super Bernard,Special,Original,1,Finished Airing,"{'from': None, 'to': None}",7 min.,G - All Ages,5.87,82,165,0,"Comedy, Kids, Super Power",RG Animation Studios,
14563,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,TV,Unknown,12,Finished Airing,"{'from': '2012-07-31', 'to': '2012-11-16'}",5 min. per ep.,PG-13 - Teens 13 or older,5.29,1115,3963,1,"Comedy, Magic",AIC Frontier,Summer 2012
2137,Haitokuzuma,Insatiable,OVA,Manga,2,Finished Airing,"{'from': '2005-12-25', 'to': '2006-12-25'}",30 min. per ep.,Rx - Hentai,6.14,1041,3078,27,Hentai,,
33571,Zenryoku Yobikou 5.5 Seminar,Zenryoku Yobikou 5.5 Seminar,ONA,Other,9,Finished Airing,"{'from': '2015-07-20', 'to': '2015-11-15'}",4 min. per ep.,PG-13 - Teens 13 or older,5.11,18,97,0,"Comedy, Parody, School",,
5689,Eien no Filena,Eien no Filena,OVA,Light novel,6,Finished Airing,"{'from': '1992-12-21', 'to': '1993-02-25'}",27 min. per ep.,R - 17+ (violence & profanity),5.92,135,580,1,"Adventure, Drama, Fantasy",Studio Pierrot,
81,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam: The 08th MS Team,OVA,Original,12,Finished Airing,"{'from': '1996-01-25', 'to': '1999-07-25'}",24 min. per ep.,PG-13 - Teens 13 or older,8.1,24855,44124,693,"Military, Sci-Fi, Adventure, Drama, Romance, Mecha",Sunrise,
2123,Digimon X-Evolution,Digimon X-Evolution,Movie,Original,1,Finished Airing,"{'from': '2005-01-03', 'to': '2005-01-03'}",1 hr. 20 min.,PG - Children,7.25,7888,14589,33,"Action, Adventure, Fantasy, Sci-Fi",Toei Animation,
29742,Butazuka,Butazuka,ONA,Unknown,13,Finished Airing,"{'from': None, 'to': None}",2 min. per ep.,PG - Children,3.78,9,71,0,Slice of Life,,
2734,Mazinkaiser: Shitou! Ankoku Dai Shogun,Mazinkaiser: Deathmatch! General Dark,OVA,Manga,1,Finished Airing,"{'from': '2003-07-25', 'to': '2003-07-25'}",56 min.,R - 17+ (violence & profanity),7.29,1429,2774,6,"Action, Mecha",Brain&#039;s Base,
7651,Ningen Shikkaku: Director&#039;s Cut-ban,Ningen Shikkaku: Director&#039;s Cut-ban,Movie,Novel,1,Finished Airing,"{'from': '2009-12-12', 'to': '2009-12-12'}",1 hr. 29 min.,R - 17+ (violence & profanity),7.58,919,5351,28,"Drama, Historical, Psychological, Seinen",Madhouse,
